,Name,Agent,State,Notes,User,Tags,Created,Runtime,Sweep,activation,batch_size,dropout,epochs,learning_rate,optimizer,GFLOPS,acc,best_epoch,best_val_loss,epoch,loss,val_acc,val_loss
0,zany-sweep-132,4e13075g,crashed,-,viettran,,2022-12-14T19:02:05.000Z,6,e2dunx1n,relu,60,0.2,10,0.001,Adam,,,,,,,,
1,cosmic-sweep-131,4e13075g,finished,-,viettran,,2022-12-14T19:00:07.000Z,115,e2dunx1n,tanh,30,0.4,10,0.001,Adadelta,1.6411343405,0.4343336522579193,,,9.0,0.9640074372291564,0.7006451487541199,0.0661894604563713
2,deft-sweep-130,4e13075g,finished,-,viettran,,2022-12-14T18:58:10.000Z,114,e2dunx1n,tanh,30,0.2,10,0.01,Adadelta,1.6411343405,0.6189092993736267,,,9.0,0.0971966385841369,0.7006451487541199,0.0533554255962371
3,zesty-sweep-129,4e13075g,finished,-,viettran,,2022-12-14T18:56:13.000Z,112,e2dunx1n,tanh,60,0.4,10,0.005,Adam,1.6411343405,0.6214907765388489,,,9.0,0.0817198529839515,0.7006451487541199,0.0669192969799041
4,fluent-sweep-128,4e13075g,finished,-,viettran,,2022-12-14T18:53:55.000Z,136,e2dunx1n,relu,120,0.2,10,0.0001,SGD,1.6411343405,0.6214907765388489,,,9.0,0.0796711519360542,0.7006451487541199,0.0685791671276092
5,morning-sweep-127,4e13075g,finished,-,viettran,,2022-12-14T18:51:37.000Z,134,e2dunx1n,relu,150,0.4,10,0.0001,SGD,1.6411343405,0.6214907765388489,,,9.0,0.0884995386004448,0.7006451487541199,0.0642705485224723
6,summer-sweep-126,4e13075g,finished,-,viettran,,2022-12-14T18:49:40.000Z,113,e2dunx1n,relu,90,0.2,10,0.005,Adadelta,1.6411343405,0.6214907765388489,,,9.0,0.0789529308676719,0.7006451487541199,0.0660819187760353
7,earnest-sweep-125,4e13075g,finished,-,viettran,,2022-12-14T18:47:22.000Z,133,e2dunx1n,elu,90,0.2,10,0.0005,RMSProp,1.6411343405,0.5963214039802551,,,9.0,0.3697988092899322,0.7006451487541199,0.0662914812564849
8,fresh-sweep-124,4e13075g,finished,-,viettran,,2022-12-14T18:45:25.000Z,114,e2dunx1n,elu,120,0.2,10,0.0005,Adadelta,1.6411343405,0.5363020300865173,,,9.0,0.3017840385437011,0.7006451487541199,0.0624440871179103
9,cerulean-sweep-123,4e13075g,finished,-,viettran,,2022-12-14T18:43:07.000Z,133,e2dunx1n,relu,30,0.6,10,0.01,Adadelta,1.6411343405,0.6214907765388489,,,9.0,0.0821449011564254,0.7006451487541199,0.0662807673215866
10,crimson-sweep-122,4e13075g,finished,-,viettran,,2022-12-14T18:41:11.000Z,115,e2dunx1n,tanh,60,0.4,10,0.001,Adam,1.6411343405,0.6214907765388489,,,9.0,0.0806428715586662,0.7006451487541199,0.0652481466531753
11,lemon-sweep-121,4e13075g,finished,-,viettran,,2022-12-14T18:38:13.000Z,173,e2dunx1n,elu,60,0.2,10,0.005,RMSProp,1.6411343405,0.6211681365966797,,,9.0,18894.650390625,0.7006451487541199,0.0617206431925296
12,lively-sweep-120,4e13075g,finished,-,viettran,,2022-12-14T18:36:20.000Z,109,e2dunx1n,relu,60,0.4,10,0.0001,SGD,1.6411343405,0.6214907765388489,,,9.0,0.0858783647418022,0.7006451487541199,0.0640678852796554
13,youthful-sweep-119,4e13075g,finished,-,viettran,,2022-12-14T18:34:03.000Z,135,e2dunx1n,tanh,120,0.6,10,0.0001,SGD,1.6411343405,0.4294933974742889,,,9.0,1.06476628780365,0.7006451487541199,0.0607670843601226
14,earthy-sweep-118,4e13075g,finished,-,viettran,,2022-12-14T18:31:45.000Z,133,e2dunx1n,elu,90,0.4,10,0.01,SGD,1.6411343405,0.6214907765388489,,,9.0,,0.7006451487541199,
15,vivid-sweep-117,4e13075g,finished,-,viettran,,2022-12-14T18:29:48.000Z,113,e2dunx1n,tanh,120,0.4,10,0.0001,Adadelta,1.6411343405,0.423685073852539,,,9.0,1.3655757904052734,0.7006451487541199,0.0619417391717433
16,fresh-sweep-116,4e13075g,finished,-,viettran,,2022-12-14T18:27:50.000Z,114,e2dunx1n,tanh,90,0.6,10,0.0005,RMSProp,1.6411343405,0.6214907765388489,,,9.0,0.0801605209708213,0.7006451487541199,0.0664044320583343
